coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
0.222_-0.292,000053.17-001732.9,36.0,0.221552,-0.292485,0.221552,-0.292485,0.0,2.7563,2.7563,-26.451,-26.451,9.361,1.39829,2.40628,-1.1308,19.6907,55.0,-0.207,4,2.10397,4.23205,-1.37723,-1.01571,0.0,142.099,131.18,141.114
0.225_0.918,000054.01+005503.0,38.0,0.225083,0.917519,0.225083,0.917519,0.0,1.1814,1.1814,-24.713,-24.713,8.261,1.2248,2.68727,-0.935831,19.4511,57.0,0.111,71,2.46914,4.39459,-1.09063,-0.854188,0.0,143.377,115.427,142.647
0.229_1.029,000054.96+010143.4,39.0,0.229006,1.028726,0.229006,1.028726,0.0,1.4622,1.4622,-25.487,-25.487,8.887,0.945476,2.46714,-0.919888,19.232,57.0,0.23,60,2.28982,4.05403,-1.04915,-0.860189,0.0,157.848,121.088,156.178
0.237_-1.069,000056.89-010409.7,40.0,0.237056,-1.069386,0.237056,-1.069386,0.0,2.1065,2.1065,-26.287,-26.287,0.0,1.11809,2.49422,-1.16917,19.2326,55.0,0.721,436,2.31032,4.25703,-1.34752,-1.09074,0.0,158.362,137.504,157.224
0.240_1.116,000057.58+010658.6,41.0,0.239919,1.116289,0.239919,1.116289,0.0,2.5538,2.5538,-25.957,-25.957,9.103,1.09441,5.0,-0.95,19.8455,60.0,0.084,141,3.24324,4.68098,-1.06233,-0.848612,1.0,148.804,95.8367,148.812
0.243_-0.780,000058.22-004646.5,43.0,0.242602,-0.779604,0.242602,-0.779604,0.0,1.8951,1.8951,-26.732,-26.732,9.167,0.852168,3.47482,-1.16937,18.4137,56.0,0.022,149,3.15785,4.63827,-1.26368,-1.10819,0.0,184.196,108.028,184.08
0.245_0.586,000058.77+003510.5,44.0,0.244895,0.586257,0.244895,0.586257,0.0,1.6547,1.6547,-26.098,-26.098,9.515,1.23408,5.0,-1.525,18.9344,56.0,0.688,75,2.88661,4.63863,-1.63888,-1.30645,1.0,173.48,165.637,173.482
0.269_0.465,000104.52+002753.8,47.0,0.268872,0.464949,0.268872,0.464949,0.0,0.5517,0.5517,-22.25,-22.25,0.0,0.940224,2.53524,-0.457312,20.395,45.0,-0.006,111,2.34632,4.25989,-0.593169,-0.403722,0.0,79.8897,52.4025,78.755
0.281_0.687,000107.52+004113.1,49.0,0.28137,0.686984,0.28137,0.686984,0.0,1.3988,1.3988,-24.917,-24.917,8.817,0.995136,2.3452,-0.786541,19.6327,62.0,0.148,5,2.17272,3.87611,-0.924976,-0.735595,0.0,158.89,106.493,156.931
0.288_-0.689,000109.12-004121.6,50.0,0.288026,-0.689356,0.288026,-0.689356,0.0,0.4166,0.4166,-22.824,-22.824,7.667,1.03703,2.47808,-0.708672,18.5432,24.0,0.077,333,2.30714,4.29446,-0.849617,-0.644368,0.0,58.5778,42.011,57.6073
0.297_-0.337,000111.19-002011.5,52.0,0.296657,-0.336535,0.296657,-0.336535,0.0,0.5178,0.5178,-23.894,-23.894,8.436,1.28904,2.44755,-0.691897,18.3695,54.0,0.272,74,2.29835,4.17667,-0.816721,-0.655691,0.0,140.76,83.5893,139.355
0.302_-0.008,000112.43-000029.2,53.0,0.301832,-0.008137,0.301832,-0.008137,0.0,1.4186,1.4186,-24.335,-24.335,8.632,1.19965,1.95783,-0.436356,20.2157,62.0,0.123,119,1.73136,3.78417,-0.683275,-0.38883,0.0,121.224,109.201,119.245
0.327_-1.039,000118.40-010221.8,55.0,0.32667,-1.039395,0.32667,-1.039395,0.0,1.9685,1.9685,-25.95,-25.95,8.826,1.17822,5.0,-0.925,19.3405,64.0,0.201,252,3.46624,4.72602,-1.00271,-0.830317,1.0,160.99,100.767,160.998
0.328_0.554,000118.69+003314.1,56.0,0.327907,0.553922,0.327907,0.553922,0.0,1.4003,1.4003,-24.289,-24.289,8.519,1.16575,3.54045,-0.708771,20.5688,49.0,-0.095,336,3.1106,4.6344,-0.828254,-0.608842,0.0,87.2887,54.6904,87.1983
0.331_-1.210,000119.44-011234.3,57.0,0.331015,-1.209549,0.331015,-1.209549,0.0,2.2135,2.2135,-25.973,-25.973,8.946,1.26343,3.03046,-0.773648,19.4717,55.0,0.273,133,2.86891,4.55784,-0.887016,-0.707195,0.0,129.857,78.6339,129.542
0.331_0.177,000119.50+001038.0,58.0,0.331289,0.17723,0.331289,0.17723,0.0,1.6199,1.6199,-24.735,-24.735,0.0,1.06687,2.57323,-1.04546,20.0998,55.0,0.065,2,2.35509,4.37691,-1.28033,-0.95431,0.0,134.752,117.267,134.004
0.355_0.003,000125.14+000009.4,63.0,0.354767,0.002622,0.354767,0.002622,0.0,1.9737,1.9737,-25.985,-25.985,9.263,1.69589,3.3591,-0.965863,19.3545,116.0,0.189,86,3.04601,4.62169,-1.07486,-0.881372,0.0,301.502,245.7,301.413
0.366_-0.466,000127.79-002756.0,64.0,0.365808,-0.465573,0.365808,-0.465573,0.0,1.3368,1.3368,-24.613,-24.613,8.546,1.22738,3.1164,-1.07779,19.9491,63.0,0.065,290,2.91359,4.57462,-1.19941,-0.985491,0.0,157.779,110.905,157.532
0.398_-0.702,000135.51-004206.7,67.0,0.397978,-0.701886,0.397978,-0.701886,0.0,3.5779,3.5779,-27.364,-27.364,9.536,1.5155,3.27529,-1.06898,19.3789,55.0,-0.013,248,2.94946,4.58716,-1.19446,-0.943345,0.0,137.616,108.689,137.434
0.416_-0.620,000139.83-003713.5,70.0,0.415972,-0.620423,0.415972,-0.620423,0.0,1.8331,1.8331,-26.01,-26.01,9.125,1.2332,2.50266,-0.518653,19.5239,63.0,-0.124,379,2.37217,4.26301,-0.670747,-0.477465,0.0,136.615,79.88,135.341
0.423_0.399,000141.43+002356.3,71.0,0.422646,0.398993,0.422646,0.398993,0.0,0.9347,0.9347,-24.685,-24.685,8.688,1.03389,3.01696,-0.865635,19.1665,63.0,-0.021,100,2.88017,4.56355,-0.969919,-0.816737,0.0,170.699,105.108,170.389
0.456_0.959,000149.33+005731.6,74.0,0.455552,0.958797,0.455552,0.958797,0.0,1.2049,1.2049,-23.976,-23.976,0.0,1.03084,2.80574,-0.848526,20.1434,56.0,-0.07,61,2.6607,4.47112,-0.985147,-0.774596,0.0,124.68,81.3774,124.092
0.479_-0.369,000154.89-002209.0,76.0,0.478713,-0.369185,0.478713,-0.369185,0.0,1.1661,1.1661,-25.161,-25.161,8.549,1.04633,-1.1,0.65,19.0057,56.0,-0.094,148,-2.37965,-0.15111,0.128739,1.24316,2.0,133.211,133.206,125.805
0.508_0.761,000201.99+004540.5,79.0,0.508316,0.761275,0.508316,0.761275,0.0,1.4364,1.4364,-25.592,-25.592,9.013,1.91882,5.0,-1.05,18.9744,63.0,0.093,407,3.08684,4.65217,-1.13484,-0.890625,1.0,157.711,101.578,157.715
0.510_-0.447,000202.33-002648.4,80.0,0.509743,-0.446803,0.509743,-0.446803,0.0,2.2124,2.2124,-25.564,-25.564,0.0,1.3576,2.54099,-0.923335,20.0084,61.0,0.229,238,2.35987,4.23033,-1.08168,-0.843141,0.0,143.81,114.254,142.559
0.537_-0.295,000208.83-001742.6,82.0,0.536801,-0.295183,0.536801,-0.295183,0.0,0.6519,0.6519,-24.049,-24.049,8.359,1.24894,3.00114,-0.851104,18.6494,55.0,0.118,289,2.86017,4.56029,-0.959805,-0.801628,0.0,150.789,82.2466,150.493
0.538_0.098,000209.05+000552.8,83.0,0.537709,0.098021,0.537709,0.098021,0.0,2.1463,2.1463,-24.691,-24.691,0.0,1.14788,3.73697,-0.61391,20.8196,53.0,0.093,12,3.04379,4.63523,-0.715595,-0.524647,0.0,86.3231,54.2314,86.3144
0.542_-0.959,000210.11-005730.9,84.0,0.542136,-0.958597,0.542136,-0.958597,0.0,1.9629,1.9629,-25.247,-25.247,9.366,1.09267,3.18804,-0.760191,20.0584,64.0,-0.177,240,2.95537,4.58501,-0.859726,-0.701751,0.0,145.955,79.6053,145.743
0.550_-0.886,000212.07-005309.1,85.0,0.550304,-0.885872,0.550304,-0.885872,0.0,2.2124,2.2124,-26.202,-26.202,9.069,1.32971,2.28389,-0.654031,19.6619,63.0,0.118,117,2.08914,3.76111,-0.816006,-0.595963,0.0,140.771,107.946,138.711
0.563_-0.400,000215.09-002358.8,86.0,0.562912,-0.399687,0.562912,-0.399687,0.0,1.4496,1.4496,-24.416,-24.416,0.0,1.10941,3.07329,-0.7464,20.3671,54.0,-0.091,102,2.89736,4.57648,-0.91002,-0.653572,0.0,103.492,63.9474,103.235
0.584_-0.873,000220.09-005222.9,90.0,0.583719,-0.873029,0.583719,-0.873029,0.0,2.235,2.235,-25.706,-25.706,0.0,1.2713,3.5112,-1.25343,19.917,60.0,0.575,147,2.94258,4.61315,-1.37868,-1.13465,0.0,147.44,130.0,147.42
0.588_0.364,000221.11+002149.3,92.0,0.587986,0.363712,0.587986,0.363712,0.0,3.057,3.057,-27.652,-27.652,9.476,1.54524,5.0,-1.325,18.7576,62.0,0.111,254,3.51958,4.75289,-1.4315,-1.16321,1.0,184.528,137.038,184.541
0.594_-0.079,000222.47-000443.5,94.0,0.593639,-0.078754,0.593639,-0.078754,0.0,0.8104,0.8104,-25.113,-25.113,9.386,1.2265,1.60458,-1.07932,18.1547,62.0,0.205,120,1.34396,2.55979,-1.43473,-0.988437,0.0,207.269,195.95,204.027
