SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
231821.13+002936.6,349.588068,0.493526,0.3765,-22.477,0.093,1561
231715.31+004650.2,349.313804,0.78063,1.5352,-24.7,0.188,1562
231647.41+003932.4,349.197575,0.659028,0.5793,-22.626,0.084,1563
231940.31+011505.6,349.917977,1.251568,1.6034,-25.63,0.235,1564
230131.80-000716.3,345.382521,-0.121205,2.1041,-26.683,0.294,1565
230041.24-002811.0,345.171841,-0.469729,1.6879,-26.027,0.092,1566
231936.08-004719.1,349.900372,-0.78864,2.0153,-25.333,-0.005,1567
230243.38-004907.3,345.680782,-0.818702,2.6209,-26.716,0.208,1568
231847.34-001748.1,349.697272,-0.296703,2.5027,-27.179,0.215,1569
231147.90+002942.0,347.949584,0.495021,1.8966,-26.626,-0.006,1570
231712.15-010559.2,349.300632,-1.099795,1.748,-25.18,0.069,1571
231808.17+003054.8,349.534056,0.515235,1.9468,-25.421,0.063,1572
231652.04+005125.9,349.216866,0.857204,3.2259,-27.741,-0.11,1573
231728.93+001703.0,349.37056,0.284167,0.8107,-23.604,0.008,1574
230504.46-010451.3,346.268604,-1.080936,2.0229,-25.55,0.041,1575
231436.60+003405.9,348.65254,0.568314,1.6271,-24.942,0.401,1576
230555.49+005946.2,346.481215,0.996171,0.7193,-25.108,-0.049,1577
231658.64+004028.7,349.244369,0.674665,1.0545,-25.553,0.077,1578
230019.96+003428.5,345.083168,0.574592,2.5249,-27.043,0.081,1579
231503.27-002710.9,348.763665,-0.453053,0.9598,-23.672,0.186,1580
231758.60-005946.5,349.49418,-0.996267,1.974,-24.853,0.052,1581
230828.28+001046.1,347.117853,0.179494,1.1308,-24.78,-0.029,1582
230617.03-001429.6,346.570974,-0.241563,1.4286,-25.045,-0.098,1583
231202.86-005537.6,348.011933,-0.927136,1.6046,-25.894,0.493,1584
231127.30-005155.2,347.863789,-0.865355,1.4173,-24.962,-0.083,1585
230211.61+011011.9,345.548376,1.169983,2.0864,-25.926,0.213,1586
231612.87+003558.4,349.053651,0.599583,2.2306,-25.567,0.196,1587
231152.90-001335.0,347.970437,-0.226391,0.3478,-23.093,-0.289,1588
231733.66+001128.3,349.390273,0.191212,0.8423,-24.618,0.252,1589
230057.67-002102.5,345.240309,-0.350722,1.9684,-26.112,0.027,1590
230617.28+005814.1,346.57204,0.97061,1.1891,-25.648,-0.007,1591
231210.62-010100.6,348.044263,-1.016849,1.2305,-24.928,-0.159,1592
230957.65-000127.2,347.490237,-0.024233,2.1104,-25.655,0.065,1593
231521.09-000546.4,348.837895,-0.096232,0.555,-23.028,0.138,1594
231000.41-010611.8,347.501717,-1.103304,1.3335,-26.521,0.086,1595
230751.90-003016.2,346.966265,-0.504518,0.4603,-23.227,0.427,1596
231538.48+004201.5,348.910342,0.700434,2.2284,-26.276,-0.055,1597
231758.64-005541.1,349.494365,-0.928103,1.9735,-25.581,0.053,1598
231207.06+002439.7,348.029436,0.411047,2.4225,-25.159,-0.018,1599
230849.41-004226.5,347.20588,-0.707385,1.6497,-25.091,0.006,1600
230403.20+000147.1,346.013364,0.029753,1.5899,-25.733,0.05,1601
230149.68-003322.1,345.457019,-0.556163,1.993,-25.187,0.223,1602
230155.54-010649.0,345.481458,-1.113623,0.2384,-23.853,-0.085,1603
230211.27+010033.4,345.546982,1.009283,2.0169,-26.281,0.094,1604
230912.74+003955.5,347.303106,0.665441,1.052,-24.289,0.223,1605
231621.98+002333.4,349.091609,0.392622,0.905,-25.487,0.232,1606
230632.06+004611.7,346.63359,0.769944,0.5705,-22.829,0.191,1607
231245.21+010518.6,348.188403,1.088526,0.5703,-22.448,0.327,1608
230000.63+000734.1,345.002633,0.126143,0.7046,-23.078,0.11,1609
230004.62-004730.5,345.019263,-0.791806,1.338,-25.061,0.032,1610
230201.20+003047.2,345.505028,0.513112,1.3445,-24.539,0.097,1611
231535.04+000127.7,348.896014,0.024379,0.5889,-22.712,0.471,1612
230832.98-002332.5,347.137431,-0.392361,3.0822,-25.82,0.354,1613
230323.76+001615.1,345.849027,0.270884,3.6854,-26.869,0.159,1614
231645.06+001114.8,349.187777,0.187459,1.639,-25.226,0.351,1615
231350.56+005118.1,348.460675,0.855036,0.9272,-24.47,-0.011,1616
231757.26+005246.2,349.488602,0.879506,3.3538,-26.774,0.002,1617
230705.29+004754.1,346.772082,0.798372,0.4234,-23.219,-0.12,1618
231241.54+011246.2,348.173119,1.212845,1.4982,-24.546,0.372,1619
231115.19-010605.3,347.813332,-1.101472,1.2633,-24.406,0.198,1620
230459.27-002238.5,346.246989,-0.377376,0.7323,-23.381,0.086,1621
230127.18+010558.9,345.363252,1.099697,1.816,-25.693,0.378,1622
231540.30+001848.3,348.917939,0.313428,2.0084,-26.186,0.051,1623
230603.79+000319.8,346.515807,0.055503,1.8131,-25.09,-0.066,1624
231445.49-010735.6,348.689552,-1.126564,1.1028,-24.712,-0.123,1625
231644.48-002114.0,349.185368,-0.353904,1.7228,-25.804,0.039,1626
230010.34+005637.9,345.043111,0.943872,1.5507,-25.008,0.06,1627
230653.98-001605.6,346.724949,-0.268226,0.5555,-23.663,0.036,1628
231933.06-003226.6,349.887783,-0.540739,1.5951,-25.023,0.093,1629
231739.75-005719.4,349.415634,-0.955402,2.3082,-26.409,0.219,1630
231444.74-011554.5,348.686425,-1.265148,0.6651,-23.811,0.299,1631
230333.67+010350.4,345.890317,1.064013,1.3653,-24.458,0.146,1632
230153.80+005301.4,345.474179,0.883734,0.717,-23.737,0.317,1633
230954.90-011113.0,347.478761,-1.18696,1.6465,-25.546,0.257,1634
231552.95+011406.1,348.97063,1.235037,0.5215,-22.202,0.254,1635
230444.26-000814.9,346.18442,-0.137492,0.6163,-24.261,0.018,1636
231911.91-001856.8,349.799664,-0.3158,2.3069,-25.728,0.493,1637
231912.33+005900.5,349.801396,0.983483,2.2535,-26.352,0.026,1638
231509.34+001026.2,348.788929,0.173967,0.8478,-25.696,-0.072,1639
230358.66-001732.9,345.994441,-0.292483,1.5094,-24.982,0.192,1640
231035.12+003058.8,347.646368,0.516339,1.2547,-24.727,-0.101,1641
231653.92-002616.9,349.224695,-0.438039,1.0993,-23.978,0.211,1642
230013.82-000813.3,345.057601,-0.137042,1.8826,-25.431,-0.074,1643
231858.56-005049.6,349.744019,-0.847128,3.2077,-27.268,0.511,1644
231752.97-011237.3,349.470729,-1.210372,1.7684,-24.678,0.042,1645
231004.05-002559.0,347.516902,-0.433081,1.13,-24.495,0.055,1646
230321.36+004750.1,345.839009,0.797269,1.1317,-24.489,0.232,1647
230437.90+002819.8,346.157941,0.472177,1.0686,-24.393,0.027,1648
231741.18+002656.1,349.421597,0.448923,1.4871,-25.466,0.186,1649
230759.34+002410.5,346.997254,0.402938,0.6302,-23.4,0.254,1650
230424.87-010140.8,346.103644,-1.028022,1.8897,-25.141,0.12,1651
230125.23-000819.9,345.355132,-0.138878,1.5981,-26.061,-0.117,1652
231850.79+002552.6,349.711658,0.431298,1.5913,-25.953,0.315,1653
231425.13-010902.9,348.604716,-1.150809,1.6379,-25.397,0.038,1654
231148.54+004426.0,347.952254,0.740565,2.1948,-25.853,-0.101,1655
230859.30+002807.8,347.247096,0.468847,1.8219,-25.462,-0.103,1656
230544.19-002532.0,346.434155,-0.42558,1.3745,-26.0,-0.095,1657
231005.87-010815.8,347.524465,-1.137729,1.3974,-25.814,0.276,1658
230739.44+005247.6,346.914337,0.879905,0.6606,-23.174,0.346,1659
230106.35+001924.6,345.276498,0.323522,1.0267,-23.977,-0.11,1660
230649.36+010400.8,346.705667,1.066916,1.2285,-26.033,0.061,1661
230206.99+002440.4,345.529149,0.411236,1.5914,-25.311,0.024,1662
231707.53+002854.8,349.281381,0.4819,0.7462,-22.994,0.093,1663
230532.33-003139.7,346.38472,-0.527696,0.9389,-24.137,-0.066,1664
230244.94-002434.1,345.68728,-0.409488,2.2349,-25.91,0.189,1665
231246.51-000445.8,348.193802,-0.079395,1.1211,-23.892,-0.071,1666
230639.65+010855.1,346.66521,1.14865,3.6557,-27.689,0.479,1667
230118.24+010053.5,345.326012,1.014878,2.0756,-25.903,0.088,1668
230657.92-000325.2,346.741337,-0.057014,0.6151,-22.765,0.503,1669
230751.21+011545.9,346.963411,1.262758,1.8796,-25.594,-0.075,1670
231428.54-011331.9,348.618935,-1.225539,1.5533,-24.893,0.187,1671
230854.90+010714.8,347.228751,1.120786,1.6295,-25.592,0.001,1672
230822.69-002733.0,347.094542,-0.459178,0.7424,-23.339,-0.011,1673
230523.76-002226.2,346.349003,-0.373961,0.6829,-23.782,0.143,1674
231124.05+004844.2,347.850244,0.812305,0.695,-22.817,0.564,1675
230323.79-002505.7,345.849142,-0.418251,1.2303,-23.949,-0.01,1676
231445.10+000837.0,348.687948,0.143637,1.1195,-25.165,-0.037,1677
231654.02+000837.3,349.225101,0.143708,2.1394,-26.073,0.132,1678
231202.48+001930.2,348.010336,0.325081,2.5952,-26.595,0.014,1679
231645.07-001129.4,349.18783,-0.191514,0.596,-22.446,0.191,1680
230740.71-004948.6,346.919634,-0.830178,0.6946,-23.584,0.001,1681
231710.78+000859.6,349.29495,0.149908,1.6793,-26.151,0.135,1682
230427.86-000803.2,346.116118,-0.134248,0.5263,-22.298,0.306,1683
231649.42+005940.7,349.205957,0.994663,2.0679,-25.396,0.708,1684
230852.88+000205.0,347.220368,0.034728,2.1456,-25.605,0.012,1685
230350.32-005336.6,345.959668,-0.893513,0.8568,-23.455,0.252,1686
231435.45+010138.9,348.647731,1.027475,0.8475,-23.356,-0.06,1687
230337.81-001730.6,345.907545,-0.291852,0.6647,-23.35,0.09,1688
231518.63+003616.8,348.827657,0.604687,0.9124,-24.01,0.343,1689
230839.95+010548.4,347.166477,1.096805,1.7452,-26.01,0.069,1690
231312.07-001657.8,348.300309,-0.282732,3.7906,-26.937,0.001,1691
230724.68-002350.2,346.852865,-0.397303,1.5017,-25.523,0.235,1692
230015.68+003119.3,345.065374,0.522039,2.1768,-26.609,-0.104,1693
230959.53+005537.3,347.498049,0.927047,2.4142,-27.498,-0.009,1694
230745.00-005122.7,346.93753,-0.856309,1.8487,-25.625,0.015,1695
231122.80-005737.3,347.845017,-0.960375,0.6852,-23.777,0.303,1696
231309.05-003929.2,348.287749,-0.658129,0.6217,-23.682,0.354,1697
230145.83-011351.0,345.440976,-1.230857,1.2409,-24.776,-0.035,1698
230628.04+000734.7,346.616853,0.126328,1.7943,-25.359,-0.093,1699
230437.64-005703.3,346.156866,-0.95093,2.4922,-26.186,0.181,1700
230550.35-004938.1,346.459818,-0.827254,0.9984,-24.49,-0.082,1701
231226.59-001815.8,348.110806,-0.304396,1.1684,-24.236,0.26,1702
231930.38+004330.9,349.876594,0.725264,0.9692,-26.111,0.462,1703
231953.07-010139.0,349.971163,-1.027524,1.1533,-23.99,0.107,1704
231628.09-010124.6,349.117058,-1.023526,1.7341,-25.525,-0.042,1705
230955.48+003613.7,347.481174,0.603808,1.0147,-23.728,-0.057,1706
230110.51+003055.7,345.293796,0.515492,1.102,-23.866,0.045,1707
230211.57+001943.6,345.54822,0.328786,1.4871,-26.081,0.217,1708
230524.70+003624.8,346.352925,0.606908,0.6073,-23.687,0.302,1709
231541.66+002936.5,348.923588,0.493489,1.3575,-23.613,0.237,1710
230544.54+005338.4,346.435616,0.894018,1.5026,-25.608,-0.096,1711
231500.81-001831.2,348.753383,-0.308683,1.324,-25.793,-0.125,1712
230810.96-000021.4,347.045674,-0.005948,1.1686,-24.101,-0.015,1713
231231.36-011137.5,348.130702,-1.193766,1.3606,-24.698,0.005,1714
230716.16+003124.3,346.817347,0.523442,2.5506,-27.133,0.037,1715
230735.21+005302.9,346.896743,0.884147,1.7588,-25.434,0.123,1716
231102.17-004326.9,347.759046,-0.724161,1.6027,-24.992,0.318,1717
231716.41+011155.9,349.318385,1.198875,1.8974,-25.527,-0.009,1718
231131.23-002842.6,347.880131,-0.478505,0.5857,-24.228,0.285,1719
231323.77+003224.8,348.349072,0.540244,0.3656,-22.072,0.592,1720
231048.19+011347.2,347.700826,1.229781,1.8968,-26.257,0.515,1721
231537.11+005427.5,348.904662,0.907666,2.6528,-26.179,-0.092,1722
010207.24+000510.7,15.530177,0.086331,1.0158,-24.492,-0.029,1723
011355.31+010706.5,18.480461,1.118489,1.4085,-24.826,-0.15,1724
011905.91+003531.6,19.774667,0.59212,1.2941,-24.332,-0.027,1725
011301.83+000633.4,18.257653,0.109305,1.6919,-27.198,-0.113,1726
010928.35+010432.0,17.368128,1.075566,0.4475,-22.605,0.097,1727
011702.88+001813.1,19.262027,0.303646,1.7804,-25.067,0.105,1728
010514.11-010223.0,16.308796,-1.03973,0.5473,-23.116,0.124,1729
011546.52+005208.7,18.943855,0.869097,1.3432,-24.113,0.214,1730
010636.33-010224.9,16.651403,-1.040255,1.0117,-23.852,0.022,1731
010144.02-004103.7,15.433451,-0.68438,2.0136,-25.168,0.476,1732
011633.69+000625.4,19.140415,0.107061,1.3165,-25.893,0.023,1733
010032.80+001855.5,15.136693,0.315439,1.4536,-24.732,0.223,1734
010614.38+011409.4,16.559948,1.235963,1.3541,-25.494,-0.02,1735
010654.05+002345.0,16.725209,0.395843,1.0218,-23.712,0.001,1736
011506.32+004459.0,18.776363,0.749734,1.7487,-25.461,0.21,1737
010714.48-005006.7,16.810339,-0.835196,0.6512,-22.502,0.353,1738
011052.85+004648.6,17.72024,0.780194,0.43,-22.392,-0.144,1739
010657.84+002133.8,16.741007,0.359414,1.9806,-25.502,0.146,1740
010329.44+004054.9,15.872668,0.681934,1.4317,-26.33,0.023,1741
010143.82+000818.9,15.432625,0.138584,1.2013,-24.156,0.004,1742
011552.59+000601.0,18.969147,0.100282,3.1927,-27.591,0.081,1743
011715.95+002627.0,19.316461,0.440853,3.7456,-26.741,-0.317,1744
010507.67-011202.4,16.281981,-1.200681,0.8994,-23.653,0.04,1745
010647.63+002826.5,16.698473,0.474046,2.9632,-25.557,-0.341,1746
010947.74-000330.6,17.448946,-0.058523,1.751,-25.678,0.009,1747
010328.05+002256.4,15.866877,0.382361,0.8946,-23.471,-0.011,1748
010205.89+001156.9,15.524546,0.199165,0.7253,-25.928,0.208,1749
010725.36-003602.1,16.855682,-0.600605,2.1568,-25.68,0.594,1750
011029.64-002517.2,17.623517,-0.421462,0.8446,-23.4,0.765,1751
011331.42-002438.7,18.380955,-0.410775,1.5164,-25.285,0.012,1752
011647.64+011449.1,19.198528,1.246985,1.9692,-26.108,0.061,1753
011431.43-001112.5,18.630974,-0.186824,1.8407,-25.291,0.303,1754
011127.10+004254.7,17.862937,0.715221,0.905,-23.5,-0.049,1755
011724.53-002120.5,19.352249,-0.355701,2.8928,-26.068,0.078,1756
011740.16-003616.8,19.417374,-0.60469,1.9861,-25.933,-0.016,1757
010955.62+005500.6,17.481784,0.916846,0.5,-23.91,-0.233,1758
011251.12+000921.3,18.213012,0.15593,2.8626,-26.415,0.225,1759
010326.88+005538.6,15.86204,0.927401,4.1376,-27.356,-0.109,1760
010918.56+005419.3,17.327341,0.905387,1.359,-24.994,-0.107,1761
010508.13-005041.3,16.2839,-0.844807,1.5852,-27.174,-0.032,1762
010512.26-010029.2,16.301085,-1.008135,1.5939,-25.463,-0.06,1763
011230.55+001441.5,18.127309,0.244876,3.265,-27.246,-0.043,1764
011957.21-010648.0,19.988379,-1.113354,1.1594,-24.223,0.048,1765
010156.00+004129.1,15.483341,0.691438,0.6492,-23.276,-0.036,1766
010428.90-003903.3,16.120457,-0.650936,2.3564,-25.946,0.095,1767
011431.76+002624.9,18.632343,0.440255,1.8573,-25.339,0.078,1768
011913.21+005115.8,19.805056,0.854411,1.6712,-25.999,0.313,1769
011539.75-002159.3,18.91566,-0.366475,0.9866,-23.66,0.049,1770
010128.01-003148.3,15.366718,-0.530091,1.1084,-24.645,0.15,1771
011305.03-005920.3,18.270973,-0.988992,1.9895,-25.488,0.097,1772
010337.46+002608.2,15.906123,0.435618,2.7951,-25.897,0.126,1773
011906.79-002740.6,19.778298,-0.461291,0.9882,-24.889,-0.159,1774
011908.04-003940.6,19.783504,-0.661292,0.9456,-23.609,-0.748,1775
010007.28-003218.5,15.030341,-0.538489,0.7358,-23.322,-0.006,1776
010049.93+002554.1,15.208072,0.431713,0.7569,-23.028,0.328,1777
011036.20-010853.8,17.650851,-1.148278,2.226,-25.819,0.153,1778
010226.16-000951.2,15.609001,-0.164232,1.9907,-25.371,0.017,1779
010728.99-004455.8,16.870804,-0.748843,1.1245,-24.201,0.084,1780
011248.91+002310.6,18.203796,0.386288,0.9783,-24.112,-0.106,1781
011844.39-002251.8,19.684996,-0.381074,1.1666,-24.22,-0.045,1782
010312.85+002718.2,15.803575,0.455064,1.4945,-25.053,-0.002,1783
011440.61-002857.1,18.669237,-0.482541,1.9484,-26.273,0.275,1784
011542.18+002300.2,18.925761,0.383413,1.3751,-25.284,-0.136,1785
010002.05+004733.5,15.008563,0.79266,0.7207,-23.479,0.029,1786
011950.10+011514.4,19.958759,1.254013,2.9476,-27.033,-0.16,1787
010458.02+002522.0,16.241783,0.422804,1.7563,-25.186,0.017,1788
011918.81-004129.1,19.828389,-0.691439,1.8291,-25.065,0.194,1789
010947.43+010750.4,17.44764,1.130685,0.9661,-25.46,-0.072,1790
011419.86+000100.4,18.582759,0.016779,1.6876,-25.264,0.101,1791
011912.85-010904.5,19.803552,-1.151264,2.0019,-25.316,0.329,1792
011938.85+010116.4,19.911908,1.021223,1.8368,-25.278,0.133,1793
011735.16+001030.0,19.396508,0.175016,0.7944,-23.39,-0.034,1794
011959.34+001358.0,19.997269,0.232794,1.0474,-25.405,0.052,1795
011948.51+004355.9,19.952156,0.732215,1.7686,-26.961,0.439,1796
011326.63-002602.8,18.360992,-0.434131,0.9354,-23.72,-0.509,1797
010034.54+003547.0,15.143927,0.596393,2.8083,-25.41,-0.111,1798
011239.67+001943.4,18.165323,0.328746,0.6818,-23.423,-0.068,1799
011729.12+002148.6,19.371366,0.363514,2.5219,-26.904,0.097,1800
011744.69-003033.2,19.43621,-0.509228,1.3178,-25.079,-0.075,1801
010429.86-004026.6,16.124438,-0.674083,2.5504,-25.895,0.392,1802
010736.65-001006.7,16.902739,-0.168542,1.8434,-26.151,-0.197,1803
010909.95+011258.2,17.291459,1.216179,1.5501,-24.733,0.443,1804
011542.21-004529.0,18.925909,-0.758064,2.2069,-26.173,0.174,1805
011124.42+002647.0,17.851751,0.446414,1.0029,-25.45,0.11,1806
010135.84-005008.9,15.399367,-0.835808,1.0131,-24.727,-0.084,1807
010350.72-000117.3,15.961362,-0.021493,1.9619,-25.844,0.098,1808
010618.71-002204.0,16.577963,-0.367788,0.4468,-22.042,0.324,1809
010047.68-003752.2,15.198692,-0.631191,0.7331,-24.157,0.545,1810
011901.54-003442.9,19.756424,-0.578605,0.6614,-22.828,0.192,1811
011934.56-002411.6,19.894021,-0.403237,1.1744,-24.679,-0.09,1812
011452.33-011218.9,18.718066,-1.205267,0.9711,-23.767,-0.655,1813
010617.84-001857.5,16.574333,-0.315995,0.4743,-22.251,-9.0,1814
011035.94+000256.6,17.649782,0.049068,0.9341,-23.852,-9.0,1815
011732.32+004919.0,19.38467,0.821952,1.3714,-25.271,0.06,1816
011544.05+002014.9,18.933567,0.33748,1.052,-24.231,-0.044,1817
011807.04+002039.9,19.529342,0.344439,1.0566,-23.986,-0.005,1818
010226.31-003904.6,15.60966,-0.651279,0.2942,-24.694,-0.342,1819
011254.91+000313.0,18.228831,0.053627,0.2386,-22.879,-0.204,1820
010925.95-003739.0,17.358161,-0.627519,1.3584,-25.538,0.01,1821
011402.35-004750.9,18.509809,-0.79749,0.3499,-22.558,-0.109,1822
010706.96-011105.3,16.77903,-1.184828,1.1149,-24.339,0.025,1823
011159.58-001614.2,17.998272,-0.270623,0.4584,-22.1,0.322,1824
011024.50-001543.8,17.602113,-0.262191,1.7587,-26.489,0.377,1825
010244.13-011408.2,15.683902,-1.235625,1.0475,-24.654,0.092,1826
010438.71-011407.8,16.161307,-1.235509,1.0628,-24.238,0.082,1827
010909.35-011030.7,17.28897,-1.175214,0.875,-25.173,0.065,1828
010627.08-011343.3,16.612875,-1.228701,1.7689,-25.546,0.072,1829
010033.50+002200.1,15.139593,0.366722,0.7535,-24.981,-0.19,1830
010826.84-003724.1,17.111846,-0.623385,1.3736,-27.236,0.175,1831
010523.69-002538.9,16.348728,-0.427473,2.1595,-26.911,0.021,1832
011522.02-004937.3,18.841788,-0.827048,1.2754,-25.155,0.177,1833
010318.86+011342.9,15.828601,1.228587,1.6038,-24.923,0.627,1834
010730.00+000356.8,16.875021,0.065797,1.7529,-25.28,0.534,1835
011847.35+004654.9,19.697319,0.781922,2.6636,-27.241,0.078,1836
010231.00+000019.3,15.629195,0.005367,1.0848,-24.35,-0.095,1837
010241.03-004208.9,15.671,-0.702475,1.7448,-26.443,0.145,1838
011044.92-010356.2,17.687187,-1.065616,2.3394,-25.484,0.143,1839
010812.00-000516.5,17.05003,-0.087923,0.9961,-23.849,0.448,1840
010351.76-011057.3,15.965685,-1.182585,1.3409,-25.051,-0.015,1841
011021.19-002523.3,17.588322,-0.423147,1.9261,-25.859,0.115,1842
010507.29+002440.5,16.280376,0.411274,1.7746,-25.217,0.056,1843
010348.78+000126.7,15.953277,0.024099,2.2715,-25.741,0.127,1844
010130.86+010146.2,15.378593,1.029517,2.1601,-25.749,0.086,1845
011615.51-004334.7,19.064639,-0.726309,1.2761,-25.781,-0.056,1846
010033.99-010912.2,15.141638,-1.153402,2.0866,-26.172,0.413,1847
010616.39+005656.8,16.568308,0.949131,1.8682,-25.706,0.26,1848
010355.55+003208.3,15.981471,0.53565,1.1266,-23.733,0.755,1849
010529.57-004636.1,16.373213,-0.776701,0.8597,-23.95,-0.011,1850
010110.22-000436.0,15.292622,-0.07667,1.265,-24.381,0.484,1851
011727.84+005025.0,19.366023,0.840305,0.49,-23.104,0.016,1852
010636.55+001713.4,16.652309,0.287068,0.9111,-25.452,0.239,1853
010034.20+004328.8,15.142504,0.724679,1.799,-25.582,-0.009,1854
011240.02+002413.9,18.16679,0.403879,1.7861,-25.163,0.183,1855
011741.12+002026.3,19.421344,0.340645,0.5699,-22.651,-0.138,1856
010928.31+005743.0,17.367979,0.961961,2.9717,-26.274,-0.055,1857
011637.80-011320.6,19.157535,-1.222411,1.0586,-24.112,-0.05,1858
010002.32+001642.5,15.009693,0.278493,0.7771,-25.708,0.021,1859
011121.92+011351.4,17.841336,1.230957,0.8071,-24.115,-0.085,1860
010702.23+005541.9,16.759327,0.928307,1.3629,-24.613,0.169,1861
011557.43+000725.9,18.989301,0.123875,1.5377,-24.967,0.163,1862
010203.91-000421.9,15.516318,-0.072762,1.1026,-24.544,0.136,1863
011556.47-003607.5,18.985319,-0.602109,2.0998,-25.248,0.385,1864
011113.90-000318.3,17.807936,-0.055104,2.4218,-26.342,-0.094,1865
010643.10+002435.0,16.679597,0.409731,1.0222,-24.053,-0.013,1866
011436.39-004336.7,18.651631,-0.726883,1.3042,-24.979,0.067,1867
010107.76+010803.7,15.282349,1.13437,1.5331,-24.985,0.176,1868
010346.42-003358.9,15.94343,-0.566376,1.7573,-25.266,0.4,1869
011301.74-000003.9,18.257253,-0.001098,0.9752,-25.475,0.186,1870
011159.15-004140.7,17.996489,-0.694653,1.669,-25.106,0.074,1871
010509.29+005258.7,16.288743,0.883,0.6501,-24.641,-0.046,1872
010113.36-002948.3,15.305695,-0.496754,1.3369,-25.06,0.342,1873
010137.67-003523.3,15.406988,-0.58983,0.8419,-23.769,-9.0,1874
011949.28-001542.0,19.955338,-0.26168,1.8123,-26.314,0.196,1875
011712.81-005817.4,19.303408,-0.971514,0.4858,-23.236,-0.117,1876
011404.44+001750.7,18.518522,0.297438,1.6536,-24.939,-0.124,1877
010858.90-000557.1,17.245441,-0.099197,1.1486,-24.168,0.056,1878
010332.02+010433.1,15.883452,1.075866,1.5753,-25.498,0.286,1879
011611.94-010224.6,19.049771,-1.040168,2.062,-26.012,-0.047,1880
011040.13-002434.2,17.667249,-0.40952,0.6591,-23.106,0.28,1881
011457.36+003329.3,18.739037,0.558154,1.5424,-24.647,0.127,1882
011902.94-005633.7,19.762274,-0.942699,1.6138,-24.988,0.019,1883
011346.78+005114.2,18.444938,0.853968,2.1301,-26.037,0.04,1884
011517.79+001715.3,18.824138,0.287584,1.5846,-25.005,0.191,1885
010437.15-003523.0,16.154817,-0.589733,1.6445,-25.389,0.109,1886
010323.84-000254.1,15.849338,-0.048388,1.7523,-25.488,-0.163,1887
011348.60+011125.0,18.452521,1.190294,2.8456,-26.036,0.557,1888
011836.66+003337.9,19.652781,0.560541,1.6302,-24.953,0.191,1889
010802.90-010946.1,17.012102,-1.162809,3.373,-27.303,0.108,1890
011329.15-010826.1,18.371492,-1.140594,1.7576,-25.392,0.192,1891
010209.03+001822.6,15.537664,0.30628,2.2826,-26.86,0.005,1892
010629.60+000122.4,16.623336,0.022905,1.6302,-26.775,0.08,1893
011840.40+004004.0,19.668362,0.667789,1.5995,-25.023,0.168,1894
011227.60-011221.7,18.11502,-1.206039,1.7577,-27.324,0.113,1895
010841.39-001003.0,17.172481,-0.167509,1.2428,-26.079,0.035,1896
010337.60+002841.8,15.906673,0.478282,2.2976,-26.485,-0.021,1897
010822.69+001147.9,17.094553,0.196666,3.7081,-27.045,0.017,1898
011044.41+001011.9,17.685052,0.169973,2.6492,-25.804,0.223,1899
011301.77-010009.0,18.257382,-1.002519,0.9283,-23.737,0.034,1900
010720.39+005435.2,16.834969,0.9098,1.4798,-25.244,0.413,1901
011056.90+001912.0,17.737112,0.320026,0.8056,-24.896,0.173,1902
010156.93-010620.3,15.48723,-1.10564,2.4503,-26.248,0.291,1903
010623.76-004711.2,16.599006,-0.786472,1.6324,-24.9,0.156,1904
011516.47-011430.7,18.818646,-1.241881,1.2015,-23.654,0.107,1905
010421.49+001047.3,16.089568,0.179824,1.7233,-25.558,0.028,1906
010400.19-003536.0,16.000818,-0.593343,0.8787,-23.533,0.036,1907
010815.34-001802.8,17.063927,-0.300799,1.7611,-25.957,-0.09,1908
011537.72+002028.6,18.907171,0.341305,1.2756,-25.683,-0.019,1909
011304.35+003501.6,18.268136,0.583783,1.1053,-24.547,0.08,1910
011037.42-002742.1,17.655933,-0.461697,1.4266,-25.672,0.326,1911
011638.80-003908.3,19.161678,-0.652319,2.1321,-25.744,0.267,1912
011948.79-011457.0,19.953327,-1.249167,1.6393,-25.401,0.026,1913
011022.04+010522.9,17.591856,1.089698,1.41,-25.399,-0.024,1914
010915.97-003204.6,17.316566,-0.534613,1.7741,-26.124,-0.049,1915
011426.74-001451.2,18.61144,-0.247565,1.5544,-24.899,0.01,1916
010545.63-005448.1,16.440146,-0.913386,2.0114,-25.56,0.485,1917
010926.46+010400.0,17.360252,1.06668,2.2139,-26.252,0.002,1918
011654.04-010959.8,19.225181,-1.166615,1.1085,-24.876,-0.153,1919
010752.22-010905.0,16.967612,-1.151401,3.277,-27.089,0.254,1920
011015.01+003042.8,17.562542,0.511915,1.8395,-25.097,0.007,1921
010637.32-004658.2,16.65553,-0.782833,1.2154,-23.872,0.055,1922
011100.39+001428.7,17.751641,0.241329,1.2355,-24.187,0.12,1923
010700.04-000636.2,16.75019,-0.110066,1.8305,-25.848,0.114,1924
011313.78-004701.3,18.30743,-0.783712,1.0127,-25.281,0.13,1925
010851.56+004017.5,17.214851,0.671555,0.9014,-24.277,0.269,1926
010046.16-005855.2,15.192347,-0.982019,3.3526,-26.419,-0.192,1927
011533.63+005858.3,18.890138,0.982877,1.3958,-26.322,0.232,1928
010227.51+005136.9,15.614641,0.86025,2.5335,-27.724,0.193,1929
011824.28-010832.0,19.601197,-1.142223,0.966,-24.617,-0.119,1930
