SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
000226.10+000549.1,0.60875,0.096981,1.6512,-26.533,-0.016,87
001252.64-000206.0,3.219364,-0.035002,0.5691,-22.335,-9.0,88
001548.25+000827.1,3.951075,0.140881,1.719,-25.027,0.103,89
001428.73+003904.6,3.619745,0.651285,1.1665,-24.334,0.086,90
000917.68-001344.8,2.323695,-0.229118,1.5357,-25.177,0.15,91
000701.04-004435.0,1.754362,-0.743067,1.365,-24.206,0.169,92
000549.05-003435.5,1.454388,-0.576538,1.624,-26.165,0.02,93
001210.81+005310.9,3.045067,0.886382,3.221,-26.552,0.945,94
001349.62-004751.8,3.45679,-0.797747,1.9254,-26.096,0.116,95
000748.54-000350.2,1.952264,-0.063963,1.2341,-25.651,-0.007,96
000512.18+000802.9,1.300784,0.134155,1.1208,-23.734,0.23,97
000754.85-004003.6,1.978562,-0.667685,0.5731,-22.688,0.027,98
001558.84-010944.0,3.995189,-1.162239,1.356,-24.485,-1.883,99
000141.43+002356.3,0.422646,0.398993,0.9347,-24.685,-0.021,100
001738.76-003116.9,4.41154,-0.521366,0.8539,-24.661,-0.093,101
000215.09-002358.8,0.562912,-0.399687,1.4496,-24.416,-0.091,102
001507.00-000800.9,3.779201,-0.133606,1.7033,-27.176,0.373,103
001713.39-002448.5,4.30583,-0.413493,3.1895,-26.261,-0.174,104
001002.96-010107.2,2.512352,-1.01868,0.5542,-23.65,0.395,105
000433.93-004844.7,1.141382,-0.812432,1.2946,-25.364,0.66,106
000834.71+003156.1,2.144652,0.532275,0.263,-23.1,-0.282,107
001927.87+003359.9,4.86615,0.566652,1.6234,-26.08,0.349,108
000456.17+000645.5,1.234054,0.112646,1.0412,-24.194,0.385,109
000622.60-000424.4,1.594195,-0.073453,1.0381,-24.328,0.206,110
000104.52+002753.8,0.268872,0.464949,0.5517,-22.25,-0.006,111
000013.80-005446.8,0.057505,-0.913004,1.8361,-25.648,0.305,112
000912.17+002413.3,2.300741,0.403718,2.4946,-27.827,0.37,113
000805.40-001001.7,2.022504,-0.167163,0.7336,-24.462,0.028,114
001306.61-003020.8,3.277548,-0.505803,2.1304,-25.573,0.359,115
000017.88+002612.6,0.07453,0.436845,0.5459,-22.667,0.146,116
000212.07-005309.1,0.550304,-0.885872,2.2124,-26.202,0.118,117
000439.25-003145.5,1.163558,-0.52931,1.8535,-25.738,0.001,118
000112.43-000029.2,0.301832,-0.008137,1.4186,-24.335,0.123,119
000222.47-000443.5,0.593639,-0.078754,0.8104,-25.113,0.205,120
000525.12+001745.2,1.354687,0.295906,1.0285,-24.383,-0.119,121
001024.18-005526.1,2.600765,-0.923929,1.9318,-25.565,-0.005,122
001002.04+004224.5,2.508515,0.706831,1.2116,-25.368,0.212,123
001404.60-010357.9,3.519195,-1.066088,0.9805,-25.616,0.173,124
001223.56+003800.0,3.098195,0.633354,1.8583,-26.149,-0.049,125
000529.13-005001.6,1.371388,-0.833785,2.115,-25.615,-0.031,126
