relation,zbin,slope,intercept,n
tau~MBH,low-z,0.08068862703830953,1.3846042058792338,2005
tau~MBH,mid-z,0.008757931282339275,3.014333154426251,4985
tau~MBH,high-z,0.013305606512879632,3.0185351329129086,2268
tau~iMag,low-z,-1.0949578010290135,-23.778423632036024,630
tau~iMag,mid-z,-0.048523060381715916,1.8475321434668261,1605
tau~iMag,high-z,0.08662244024327134,5.36982895261887,711
sigma~iMag,low-z,-0.3691090597021579,-9.64435351090195,630
sigma~iMag,mid-z,0.06231025024135391,0.7218706301666419,1605
sigma~iMag,high-z,0.07941797670609728,1.193851726863126,711
