zbin,N,DeltaI_sigma_std,Gamma_tau_MB_slope,lambdaR_highR_fraction,Rinf_log10sigma_p95,k_tau_spread
low-z,3086,1.6918139189490606,0.05093013519719396,0.7242384964355152,-0.08565350000000001,4.6348275
mid-z,3086,0.532749941388773,0.005691821258368378,0.4351911860012962,-0.300393,3.62365
high-z,3086,0.49319647874194683,0.015115829209501604,0.3405703175631886,-0.1867755,3.9760425
