dbID,z,iMag,npts,H,C
2103773,0.807,19.575,87,0.8888981132306444,3.375395671076139
2103863,1.0524,20.686,67,0.9160655504298372,3.567617980089304
2104159,2.658,21.51,54,0.9473899442624589,3.7631924967587493
70,1.073,20.04,59,0.9528933373874351,3.6557232255706453
2104226,2.1795,20.588,56,0.9305128503799247,3.5862224153822244
98,0.7867,19.818,52,0.9321859241267394,3.5638668834263854
2104522,1.5043,20.439,68,0.9300103228349679,3.8416413435185452
2104791,0.986,18.496,80,0.9241480143128114,3.660933644157926
2105631,2.409,20.44,40,0.9522484867570107,3.405119496105172
2105662,0.6182,19.908,68,0.906235692602366,3.5267527088039103
2105705,2.2521,18.962,68,0.925011765619437,3.3378195279751295
2105888,0.812,20.635,59,0.9149927585594522,3.585420855848133
2105963,1.1196,20.423,61,0.9412873693966665,3.425728220144426
2106045,2.9536,19.894,130,0.9366505500338228,3.094091666181068
2106392,1.7486,18.763,68,0.9147776081216088,3.4007972549180563
2107076,2.7866,19.841,60,0.9246893633009894,3.2615965156684528
2107339,2.785,21.28,45,0.945789057753492,3.547117320013252
2107686,1.3894,20.379,50,0.9622781857035513,2.9539765551192123
2108440,1.6702,20.138,69,0.908563698262838,3.735976327585817
233,1.6199,20.199,55,0.943960181261337,3.6362838162294646
2108870,1.2172,20.244,61,0.8914232765863002,3.494242784547315
2109029,3.4447,19.898,68,0.9061591206943292,3.589730435746837
2109241,1.7117,19.095,67,0.9156550764103075,3.5039105161591384
2109295,2.0852,20.173,68,0.8937100842782641,3.715685889632691
2110228,0.7432,20.242,66,0.9428559538537108,3.674004927623173
2110298,2.3969,20.329,66,0.9228870258238177,3.802917381223986
2111102,1.3412,19.951,67,0.9218262581457367,3.567617980089304
2111406,3.6273,19.303,66,0.9420150978589827,3.674004927623173
2111491,1.347,20.083,69,0.9354586848941884,3.860508871838678
2111722,1.9266,19.406,67,0.9368186165570744,3.6950329079496367
2111754,1.0534,20.242,63,0.8995179291748674,3.7421862044826746
2112247,2.6589,19.694,64,0.9350089998398982,3.1686728254168925
2112550,1.768,21.29,45,0.9342805257726849,3.547117320013252
2112657,1.6712,20.179,65,0.9102353062771575,3.5221392589744434
2112737,1.1963,19.953,66,0.930406023370818,3.7384611544235793
2112797,0.4786,18.896,64,0.9250655893240574,3.5647569285940044
2112846,2.5043,19.062,62,0.8812868446657587,3.45055497766065
2113281,1.8483,18.697,69,0.9080870636531145,3.6114437833329567
2114023,0.7687,20.16,68,0.9651600757962522,2.3931536238312248
2114242,1.0642,19.593,64,0.918113253831961,3.3667148770054482
2114286,1.5447,20.01,52,0.9376945670690102,3.1764900482713436
2114417,3.401,19.785,68,0.9324396598366779,3.6527081626897644
2114496,2.752,21.83,50,0.9589464503749687,3.5926741886585014
2114974,2.9692,18.865,65,0.9149758947160145,3.587364060066563
2115281,0.609,19.897,69,0.91445548160187,3.5491775112065262
2116040,0.6003,19.488,69,0.8999114696044476,3.4869112390800963
2116070,1.0183,20.059,68,0.9251194336939055,3.6527081626897644
2116691,0.9484,19.991,66,0.9085458126826584,3.480636247221953
2116723,1.5434,20.203,59,0.9931362871750921,2.1090710916753723
2116933,0.3828,19.2,24,0.9357921639236748,3.3162300838413348
2117241,1.5141,18.149,122,0.9030895530001078,3.5335361403409906
2117298,2.4159,19.973,69,0.9162337434006878,3.7982425997122475
2117330,2.5221,17.793,71,0.9219939093789756,3.3492484748181766
2117444,2.6424,19.393,67,0.8957038632807744,3.6313254440194704
2118411,2.2025,20.182,66,0.9256540176692439,3.802917381223986
2118903,0.748,20.74,41,0.9977553765679478,1.2069109216789
2119056,2.1178,20.054,68,0.9502188284075117,3.5267527088039103
2119593,2.7,21.23,61,0.8951526741541066,3.425728220144426
2119950,1.502,19.322,66,0.9258482994746341,3.6095487008227662
2119972,2.685,21.3,55,0.9466550215777506,3.562073942428863
2120092,1.6668,20.004,67,0.9256824658240369,3.758740371879803
2120216,1.7614,19.592,67,0.9111559698774785,3.5039105161591384
2120484,2.6084,20.195,70,0.9261788098797691,3.509626504301645
2120520,0.6091,19.782,45,0.9543021461107027,3.7201474331846303
2120956,0.3679,18.391,13,0.9584616096354583,2.7786951372499984
2121163,2.4292,19.762,68,0.9311444999880241,3.8416413435185452
2121414,1.5178,20.292,59,0.8875836443622867,3.3042113769580834
2121582,0.5754,19.302,129,0.8955192025038172,3.5689247344531028
2123962,0.8613,18.666,70,0.9326902163303579,2.8323301613662397
2124003,1.4084,18.305,66,0.9229496682824884,3.54509247402236
2124017,2.1241,19.84,70,0.9102862175350618,3.694343688738573
2124293,2.2744,19.907,65,0.9125800256680444,3.391689656790205
2124435,2.189,20.26,38,0.9200032700808979,3.244333601918128
2125290,1.3528,18.003,69,0.9000145099271661,3.3623786948272354
2125388,1.6992,20.105,67,0.9245896680604936,3.6950329079496367
2126011,1.5861,19.096,68,0.9248464574111829,3.715685889632691
2126626,1.8999,20.055,69,0.9543011973537338,3.237846150574375
2126783,0.7337,18.342,67,0.9096440842591461,3.1853731965083076
2127085,1.0128,0.0,34,0.9143213370510397,3.5263605246161616
2127208,1.8348,19.141,70,0.9054417061060246,3.5711988991139543
2127268,2.07,19.8,45,0.9546129974864623,3.374087206841874
2127298,2.0544,19.556,71,0.9238031498086512,3.3492484748181766
2127318,2.6896,20.027,70,0.9301349473174867,3.0786197406154776
2128014,1.4438,20.141,70,0.9170022274049732,3.2633369250524065
